,crim,zn,indus,chas,nox,rm,age,dis,rad,tax,ptratio,black,lstat,medv
crim,1,,,,,,,,,,,,,
zn,-0.488178594,1,,,,,,,,,,,,
indus,0.521927555,0.059104971,1,,,,,,,,,,,
chas,#DIV/0!,#DIV/0!,#DIV/0!,1,,,,,,,,,,
nox,0.624629591,0.319866775,0.673122337,#DIV/0!,1,,,,,,,,,
rm,-0.595418945,-0.141461887,-0.703341121,#DIV/0!,-0.788695299,1,,,,,,,,
age,-0.261045423,0.428069109,0.265381363,#DIV/0!,0.150161874,-0.084362419,1,,,,,,,
dis,-0.667752253,0.42873438,-0.229652866,#DIV/0!,-0.448393202,0.312408545,0.365794601,1,,,,,,
rad,0.233128705,0.326192045,0.636723708,#DIV/0!,0.491043195,-0.632563562,0.289130035,0.366313462,1,,,,,
tax,0.48308306,0.4644241,0.766176678,#DIV/0!,0.961084225,-0.802123015,0.275163758,-0.237785894,0.658118654,1,,,,
ptratio,0.77195125,-0.895149704,0.0824067,#DIV/0!,0.093073695,-0.14599993,-0.440191105,-0.677850013,-0.219648526,-0.11212437,1,,,
black,-0.422093751,0.20394518,-0.214118273,#DIV/0!,-0.246413746,0.422947881,0.318375576,0.38930505,-0.091330873,-0.190040877,-0.314540601,1,,
lstat,-0.006489342,0.554671774,0.545906431,#DIV/0!,0.431597824,-0.555338139,0.651065246,0.342892511,0.72187979,0.606813071,-0.478126395,-0.071993986,1,
medv,-0.453844761,-0.276491458,-0.695058375,#DIV/0!,-0.777301482,0.813745353,-0.416832702,0.210459119,-0.532915431,-0.805623463,0.00435089,0.184591451,-0.627582903,1
